invoice number,amount,datetime,payment type,payment_number
20240801000001,24,2024-08-01 15:19:31,Cash,
20240801000002,21.95,2024-08-01 14:10:06,eWallet,
20240801000003,33.8,2024-08-01 12:59:57,Cash,
20240801000004,14,2024-08-01 11:30:33,Cash,
20240801000005,63.9,2024-08-01 15:05:10,Credit Card,1232-4232-5532-7444
20240802000006,21.9,2024-08-02 16:28:57,Cash,
20240803000007,21,2024-08-03 11:42:26,eWallet,
20240803000008,9,2024-08-03 13:39:15,Cash,
20240805000009,12,2024-08-05 11:40:53,Cash,
20240806000010,21,2024-08-06 10:51:25,eWallet,
20240806000011,29.25,2024-08-06 12:15:51,Cash,
20240806000012,29.25,2024-08-06 17:28:05,Cash,
20240807000013,2.5,2024-08-07 16:13:59,Cash,
20240807000014,44.95,2024-08-07 14:11:18,Credit Card,3434-3256-5968-3535
20240808000015,17,2024-08-08 14:27:54,Cash,
20240808000016,17.25,2024-08-08 16:38:39,eWallet,
20240808000017,21,2024-08-08 11:03:21,Cash,
20240808000018,14.5,2024-08-08 11:15:41,Cash,
20240808000019,77.1,2024-08-08 12:47:51,Cash,
20240809000020,11.55,2024-08-09 17:40:42,Cash,
20240809000021,51.35,2024-08-09 15:17:06,Cash,
20240809000022,14.05,2024-08-09 15:09:00,Cash,
20240809000023,16.7,2024-08-09 15:37:46,Cash,
20240809000024,10.05,2024-08-09 14:02:38,eWallet,
20240810000025,30.1,2024-08-10 15:22:07,Cash,
20240810000026,12.65,2024-08-10 16:03:37,Cash,
